,fighter,training,centerforward,chance,sprinter,ring,lineman,line,pitchers,forward,tackle,shot,kick,out,single,crack,referee,sport,boxing,player,standard,knockout,score,team,teams,elgoal,jersey,coach,handicap,catch,dribbling,record,shoot,back,insider,winger,players,field,shortstop,second,ranking,match,club,games,centroforward,foul
counts_english_15_27_1942,1,4,0,34,20,121,0,64,0,32,0,23,0,30,27,244,7,87,8,34,20,1,107,657,102,5,3,15,5,3,5,292,3,58,26,4,16,64,0,20,9,414,553,6,0,20
counts_english_43_59_1943,11,2,0,48,27,156,3,48,1,40,1,36,4,27,29,455,30,81,0,92,10,5,114,293,28,3,2,12,4,2,3,339,1,47,40,17,49,53,1,15,26,401,437,6,0,26
counts_english_70_86_1944,3,4,0,52,39,156,0,87,0,67,10,23,3,22,36,276,33,94,1,64,17,7,92,355,36,2,0,21,24,1,11,276,2,53,50,11,28,30,0,14,10,418,353,7,0,37
counts_english_120_137_1945,7,3,0,53,16,237,1,68,0,75,0,17,2,53,24,221,63,114,0,87,18,16,135,410,38,2,2,37,17,3,18,356,4,50,71,18,40,40,0,7,8,500,402,5,0,62
counts_english_173_189_1946,0,3,0,41,5,198,0,75,0,86,0,23,0,27,39,117,55,68,2,54,20,7,115,494,47,0,13,19,23,1,12,305,0,31,77,44,28,36,0,9,9,443,371,1,0,36
counts_english_225_241_1947,0,3,0,18,14,163,0,67,0,81,0,26,4,22,32,135,116,63,0,40,26,1,161,447,25,0,17,16,19,7,13,359,0,35,87,29,16,98,0,6,15,356,322,6,0,52
counts_english_277_293_1948,4,3,0,23,8,167,0,80,1,44,0,16,0,26,29,114,140,44,0,27,17,5,111,497,38,0,7,12,7,1,10,257,3,42,87,10,21,55,0,10,17,332,337,6,0,46
counts_english_329_346_1949,0,1,0,24,0,151,0,60,0,65,0,6,0,39,28,143,93,51,0,9,20,7,91,462,24,0,1,9,17,14,8,250,0,100,79,15,5,25,0,6,9,263,335,1,0,23
counts_english_381_398_1950,2,2,0,27,10,190,0,59,0,64,0,13,0,30,60,109,14,69,1,8,18,7,77,517,20,0,25,25,22,0,19,166,4,28,58,3,1,13,0,6,28,208,272,4,0,23
counts_english_433_450_1951,13,0,0,23,0,139,0,41,0,104,1,13,2,18,53,136,9,79,0,18,15,6,96,365,19,1,19,14,3,0,20,182,4,72,105,28,7,28,0,11,14,234,315,5,0,39
counts_english_451_467_1952,4,1,0,13,5,159,0,34,0,75,0,6,0,11,33,117,28,115,1,3,7,0,62,373,14,1,7,12,13,1,20,202,3,43,42,3,1,14,0,12,15,178,314,1,0,35
counts_english_529_554_1953,5,0,0,12,6,146,0,77,0,189,3,18,2,23,42,144,82,126,1,3,32,3,128,413,19,0,10,28,2,2,19,239,0,51,68,16,2,29,0,9,14,421,368,3,0,41
counts_english_581_606_1954,5,1,0,18,2,154,0,81,0,144,3,8,0,31,39,52,41,182,1,8,37,2,121,406,21,3,9,24,11,1,32,225,1,43,80,12,5,46,0,25,17,479,343,1,0,45
counts_english_633_659_1955,7,1,0,10,7,152,0,68,0,157,0,17,0,15,46,70,36,215,2,6,18,0,113,275,3,0,0,17,15,0,30,222,2,64,81,20,2,13,0,15,23,374,414,14,0,43
counts_english_686_711_1956,2,1,0,18,12,160,0,105,0,121,1,13,2,23,37,99,38,190,0,4,23,1,108,343,10,4,3,26,3,0,20,345,1,92,100,19,1,22,0,12,22,291,379,7,0,28
counts_english_738_761_1957,4,0,0,33,6,98,0,124,0,180,1,15,0,29,29,106,23,188,3,3,26,0,107,303,4,1,6,22,11,2,18,295,0,63,112,2,0,20,0,10,25,343,359,8,0,32
counts_english_788_813_1958,6,1,0,11,6,88,0,103,0,102,7,14,0,14,31,67,22,154,0,5,19,0,106,231,11,1,6,16,3,1,28,347,3,33,68,10,2,9,0,18,20,265,298,0,0,29
counts_english_840_866_1959,7,0,0,27,2,127,0,70,0,115,1,11,0,21,20,49,70,137,2,5,11,1,108,337,4,2,13,56,11,0,22,344,1,49,74,10,3,23,0,22,29,309,343,0,0,53
counts_english_893_918_1960,1,0,0,28,10,90,0,84,0,107,0,10,0,22,31,59,77,83,2,18,9,0,83,252,6,1,1,40,6,1,15,444,1,44,59,9,7,6,0,14,24,241,315,3,0,36
counts_english_945_970_1961,0,2,0,43,4,86,0,133,0,159,3,11,3,21,31,52,66,127,0,13,21,0,130,280,5,2,2,29,5,0,30,406,1,73,73,6,10,11,0,7,42,358,340,1,0,53
counts_english_971_1022_1962,0,1,0,25,13,81,0,82,0,119,1,23,1,25,18,43,196,101,2,10,15,0,63,155,1,4,10,23,15,1,31,381,0,32,35,6,5,15,0,11,32,255,272,0,0,43
counts_english_1049_1079_1963,1,2,0,30,13,54,0,98,0,146,1,4,0,12,38,57,215,118,0,6,20,0,75,166,3,3,0,18,6,0,19,263,0,30,41,3,1,11,0,6,23,225,356,1,0,34
counts_english_1075_1100_1964,2,15,0,11,12,95,0,80,0,113,0,7,2,38,39,66,117,108,0,9,23,0,71,187,2,0,3,33,21,0,34,401,0,56,20,4,5,10,0,10,34,249,377,0,0,24
counts_english_1153_1177_1965,0,2,0,21,1,84,0,97,0,78,3,7,3,26,18,28,122,84,3,2,13,2,59,138,0,0,6,27,6,0,27,224,0,25,24,2,1,15,0,7,11,229,171,1,0,30
counts_english_1204_1229_1966,0,1,0,22,3,49,0,109,0,127,1,6,2,31,112,33,68,108,0,10,14,0,98,104,2,4,0,15,1,2,16,260,1,11,13,0,6,20,0,8,8,228,217,4,0,67
counts_english_1256_1278_1967,3,0,0,17,11,72,0,98,0,57,1,7,0,19,19,13,49,62,0,2,9,0,61,176,1,0,0,35,2,5,14,337,0,4,4,0,2,2,0,6,12,147,296,2,0,48
counts_english_1305_1330_1968,3,0,0,13,8,69,0,102,0,63,4,0,0,24,17,16,190,127,0,2,12,0,47,175,3,0,2,16,8,1,18,413,2,13,7,3,2,4,0,4,14,174,321,1,0,67
counts_english_1344_1370_1969,3,0,0,14,7,115,0,100,0,44,7,7,1,15,22,29,159,102,0,3,3,0,43,188,3,1,12,13,6,0,21,249,0,6,1,0,1,2,0,3,21,218,439,11,0,43
counts_english_1409_1431_1970,1,0,0,14,1,79,0,70,0,3,0,1,0,8,5,24,72,92,0,1,7,0,32,109,1,0,0,4,1,0,8,224,0,5,1,6,1,27,0,2,25,95,442,2,0,50
counts_english_1457_1483_1971,1,0,0,20,3,59,0,68,0,4,2,1,0,23,16,28,13,93,2,8,20,0,32,154,0,0,0,5,4,0,5,339,0,3,0,2,6,30,0,12,38,83,567,1,0,35
counts_english_1523_1535_1972,0,0,0,6,0,84,0,63,0,7,3,4,0,19,19,36,20,87,1,2,7,0,20,125,0,0,5,3,6,0,7,331,1,4,1,0,1,8,0,6,18,108,610,1,0,43
counts_english_1573_1585_1973,0,0,0,6,0,56,0,61,0,7,4,5,1,29,40,41,16,65,1,2,4,1,28,138,0,0,3,5,26,0,9,192,0,3,1,1,1,4,0,7,13,108,723,3,0,57
counts_english_1599_1611_1974,0,1,0,13,5,63,0,77,0,20,4,10,3,29,20,25,21,66,0,2,10,2,20,97,4,0,7,3,10,0,4,274,0,5,0,0,2,4,0,8,20,138,637,0,0,43
counts_english_1673_1690_1975,0,1,0,7,0,56,0,82,0,7,3,2,1,15,10,13,12,21,0,5,3,0,16,104,0,0,8,2,3,0,12,95,0,7,1,0,3,2,0,0,7,114,411,1,0,47
counts_english_1725_1742_1976,1,0,0,16,1,80,0,74,0,6,0,3,0,16,19,25,3,70,0,2,2,0,15,132,3,0,2,1,2,0,9,98,0,4,0,0,0,10,0,1,80,77,330,5,0,54
counts_english_1778_1788_1977,0,1,0,10,1,82,0,154,0,2,0,4,1,16,17,7,5,72,1,1,3,1,7,101,0,0,3,1,3,0,6,95,0,1,1,1,1,2,0,5,36,54,387,0,0,60
counts_english_1826_1846_1978,0,0,0,9,1,65,0,154,0,1,1,5,1,23,38,15,3,32,0,2,5,0,10,122,0,0,10,1,2,0,4,185,1,2,0,0,0,20,0,4,84,39,550,1,0,44
counts_english_1860_1898_1979,0,0,0,7,1,45,0,150,0,2,3,0,2,25,14,5,3,73,0,7,0,0,11,106,2,0,0,43,6,0,1,136,0,4,0,0,1,21,0,2,35,138,343,0,0,56
counts_english_1912_1924_1980,0,0,0,18,0,71,2,157,0,1,2,0,2,32,17,9,2,41,0,4,0,0,16,105,0,0,0,54,4,0,5,157,0,6,1,0,1,14,0,3,28,161,365,1,0,43
counts_english_1977_1990_1981,0,0,0,9,2,57,0,108,0,5,0,4,0,15,11,21,2,31,0,2,11,0,15,126,2,0,0,4,8,2,5,162,0,1,0,0,0,3,0,17,22,144,375,0,0,21
counts_english_2004_2016_1982,0,0,0,6,0,89,0,135,0,1,0,5,3,29,19,67,0,42,1,1,1,0,19,85,0,0,0,3,4,1,2,135,0,1,0,0,0,14,0,2,59,50,550,0,0,34
